esperanto,kanji,priority,source_root,source_line
cirku,鸟ᶜᵁ,0,cirku,1001
fulmar,鸟ᶠᴸ,0,fulmar,1021
fenikur,鸟ᶠᴺ,0,fenikur,1042
falaropod,鸟ᶠᴿ,0,falaropod,1063
neoti,鸟巢兰,0,neoti,7601
koktel,鸡尾酒,0,koktel,5854
kantarel,鸡油菌,0,kantarel,6971
ĉirp,鸣ᶜ̂,0,c^irp,4542
kornik,鸦ᴷᴺ,0,kornik,5129
teba,鸦片ᵀ,0,teba,5796
narkotik,麻ᴺᴷ,0,narkotik,5814
efedrin,麻黄碱,0,efedrin,7051
flavin,黄ᶠᴺ,0,flavin,1955
hesperornit,黄昏鸟,0,hesperornit,7024
pirit,黄铁矿,0,pirit,7114
tombak,黄铜ᵀ,0,tombak,5243
negr,黑ᴺᴱ,0,negr,1179
smut,黑穗病,0,smut,7006
timbal,鼓ᵀᴸ,0,timbal,4491
arvikol,鼠ᴬᴿ,0,arvikol,4276
dolikot,鼠ᴰᴸ,0,dolikot,4277
mustel,鼠ᴹˢ,0,mustel,4267
mikrot,鼠ᴹᴷ,0,mikrot,4274
mel,鼠ᴹᴸ,0,mel,4261
muskarden,鼠ᴹᴿ,0,muskarden,4281
miokastor,鼠ᴹᵀ,0,miokastor,4280
mefit,鼠ᴹᶠ,0,mefit,4264
ĉinĉil,鼠ᶜ̂,0,c^inc^il,4273
salvi,鼠尾草,0,salvi,7403
nazal,鼻ᴺᴸ,0,nazal,1609
rostr,鼻ᴿˢ,0,rostr,1608
dental,齿ᴰᴸ,0,dental,1409
stegosaŭr,龙ˢᴳ,0,stegosau^r,5594
stelion,龙ˢᵀ,0,stelion,5589
sfenodont,龙ˢᶠ,0,sfenodont,5593
akonti,龙ᴬᴷ,0,akonti,5588
apatosaŭr,龙ᴬᴾ,0,apatosau^r,5591
mozasaŭr,龙ᴹᶻ,0,mozasau^r,5590
pterodaktil,龙ᴾᴰ,0,pterodaktil,5599
pteranodont,龙ᴾᵀ,0,pteranodont,5598
agav,龙舌兰,0,agav,5970
dracen,龙血树,0,dracen,7325
karet,龟ᴷᴿ,0,karet,4818
iĝ,成ᴵᴳ,1,igx,194
leandr,虾ᴸᴱ,1,Leandr,5214
monofizit,一性,0,monofizit,6928
januar,一月,0,januar,345
unitari,一神,0,unitari,6754
siring,丁香,0,siring,5870
juli,七月,0,juli,598
kardan,万向,0,kardan,6458
hura,万岁,0,hura,6812
mart,三月,0,mart,589
trinitr,三硝,0,trinitr,6559
trigonometri,三角,0,trigonometri,6553
kolonel,上校,0,kolonel,5226
epiteli,上皮,0,epiteli,7021
apelaci,上诉,0,apelaci,5877
senat,上院,0,senat,5309
menton,下巴,0,menton,3749
katafor,下指,0,katafor,7644
ahims,不害,0,ahims,6773
steril,不育,0,steril,5757
disonanc,不谐,0,disonanc,7551
nelg,不长,0,nelg,7430
malgraŭ,不顾,0,malgraŭ,101
arleken,丑ᴬ,0,arleken,4683
histrion,丑ᴴ,0,histrion,4685
klaŭn,丑ᴷ,0,klau^n,4681
pajac,丑ᴾ,0,pajac,4682
despot,专制,0,despot,6358
komisar,专员,0,komisar,5227
talam,丘脑,0,talam,7581
makis,丛ᴹ,0,makis,5340
vepr,丛ⱽ,0,vepr,5339
faden,丝ᶠ,0,faden,2779
filari,丝虫,0,filari,6611
hermafrodit,两性,0,hermafrodit,6047
amfibi,两栖,0,amfibi,6086
drakon,严ᴰ,0,drakon,2625
rigor,严ᴿ,0,rigor,2623
neŭtral,中ᴺ,0,neŭtral,1603
ald,中音,0,ald,5663
tandem,串联,0,tandem,7330
krit,临界,0,krit,5829
testik,丸ᵀ,0,testik,4639
erizipel,丹毒,0,erizipel,7700
subjekt,主ˢ,0,subjekt,1734
nominativ,主ᴺ,0,nominativ,1735
prezid,主ᴾ,0,prezid,1732
tonik,主ᵀ,0,tonik,1737
ism,主义,0,ism,244
episkop,主教,0,episkop,5519
prepost,主祭,0,prepost,6433
aort,主脉,0,aort,6636
kondut,举ᴷ,0,kondut,807
deont,义ᴰ,0,deont,5647
niel,乌银,0,niel,5833
sangvin,乐ˢ,0,sangvin,1860
hedon,乐ᴴ,0,hedon,1861
orkestr,乐ᴼ,0,orkestr,1858
plezur,乐ᴾ,0,plezur,1857
meloman,乐迷,0,meloman,7260
multiplik,乘ᴹ,0,multiplik,924
septembr,九月,0,septembr,593
nek,也不,0,nek,657
skrib,书ˢ,0,skrib,906
uncial,书体,0,uncial,6938
kaligraf,书法,0,kaligraf,6404
pelmel,乱ᴾ,0,pelmel,4208
turbul,乱ᵀ,0,turbul,4207
incest,乱伦,0,incest,7724
emulsi,乳ᴱ,0,emulsi,1588
mam,乳ᴹ,0,mam,1586
cic,乳ᶜ,0,cic,1587
stalaktit,乳石,0,stalaktit,7373
mastoid,乳突,0,mastoid,7420
oliban,乳香,0,oliban,7318
afer,事ᴬ,0,afer,644
event,事ᴱ,0,event,646
fakt,事ᶠ,0,fakt,645
dut,二度,0,dut,6387
februar,二月,0,februar,599
dikro,二色,0,dikro,6657
binar,二进,0,binar,7332
duet,二重,0,duet,6972
binom,二项,0,binom,7376
pice,云杉,0,pice,5273
glim,云母,0,glim,6051
mutual,互ᴹ,0,mutual,3441
taŭtomer,互变,0,tau^tomer,6498
penta,五ᴾ,0,penta,154
maj,五月,0,maj,597
pentagon,五角,0,pentagon,7396
metilen,亚甲,0,metilen,7159
lin,亚麻,0,lin,5250
diplomat,交ᴰ,0,diplomat,3560
koit,交ᴷ,0,koit,3561
simfoni,交响,0,simfoni,6711
simpat,交感,0,simpat,6748
kopul,交配,0,kopul,6552
akuŝ,产ᴬ,0,akuŝ,1906
puerper,产后,0,puerper,7531
obstetrik,产科,0,obstetrik,6855
sibarit,享乐,0,sibarit,7592
bril,亮ᴮ,0,bril,1402
leŭcin,亮ᴸ,0,leu^cin,1403
simpati,亲ˢ,0,simpati,1555
intim,亲ᴵ,0,intim,1553
parenc,亲ᴾ,0,parenc,1554
antrop,人ᴬ,0,antrop,671
oni,人ᴼ,0,oni,670
person,人ᴾ,0,person,669
ostaĝ,人质,0,ostag^,6805
pralin,仁糖,0,pralin,6634
permitiv,介电,0,permitiv,5919
sil,仓ˢ,0,sil,3238
hamstr,仓鼠,0,hamstr,5945
altru,他ᴬ,0,altru,650
ili,他们,0,ili,630
surogat,代ˢ,0,surogat,109
era,代ᴱ,0,era,107
generaci,代ᴳ,0,generaci,106
pronom,代ᴾ,0,pronom,105
algebr,代数,0,algebr,5926
metabol,代谢,0,metabol,5991
edikt,令ᴱ,0,edikt,1838
imperativ,令ᴵ,0,imperativ,1839
komand,令ᴷ,0,komand,1837
kurz,价ᴷ,0,kurz,2970
tarif,价ᵀ,0,tarif,2969
valent,价ⱽ,0,valent,2971
ajn,任ᴬ,0,ajn,605
investitur,任ᴵ,0,investitur,606
porci,份ᴾ,0,porci,116
mim,仿ᴹ,0,mim,2839
pastiĉ,仿ᴾ,0,pastic^,2841
pingven,企鹅,0,pingven,7166
elit,优ᴱ,0,elit,4905
optimum,优ᴼ,0,optimum,4906
eŭgenik,优生,0,eu^genik,6809
