difeomorfi,微分同胚ᴰᴵ
koagul,凝ᴷᴳ
kondens,凝ᴷᴺ
prognat,凸ᴾᴳ
eksport,出ᴱᴷ
emerĝ,出ᴱᴹ
knokaŭt,击倒ᴷ
deci,分ᴰᶜ
molekul,分ᴹᴸ
tomi,切ᵀᴹ
tangent,切ᵀᴺ
skarifik,划ˢᴷ
pagaj,划ᴾᴳ
iniciat,创ᴵᶜ
traŭm,创ᵀᴿ
konvikt,判ᴷⱽ
livre,制服ᴸ
skovel,刷ˢᴷ
strid,刺ˢᵀ
punktur,刺ᴾᴺ
avers,前ᴬᴿ
avan,前ᴬⱽ
prostat,前列腺
anatomi,剖ᴬᴵ
ĉizoj,剪ᶜ̂
akcesor,副ᴬᴷ
epifenomen,副现象
sekant,割ˢᴷ
dinamism,力主义
aŭtomaci,动ᴬᶜ
kinez,动ᴷᶻ
motor,动ᴹᵀ
korsar,劫ᴷᴿ
ŝkop,勺ˢ̂
bandaĝ,包ᴮᴺ
kemiterapi,化学疗
deka,十ᴰᴬ
decimal,十ᴰᶜ
novembr,十一月
dodekafon,十二声
decembr,十二月
dodekaedr,十二面
kilo,千ᴷᴵ
kilobajt,千字节
parvenu,升ᴾⱽ
centaŭr,半人马
hemiceluloz,半胞糖
hemiĥord,半脊索
kooper,协ᴷᴼ
menu,单ᴹᴱ
monism,单主义
monokotiledon,单子叶
dromedar,单峰驼
monooksid,单氧化
monoteist,单神家
monosakarid,单蔗子
monomer,单链节
dokt,博ᴰᴼ
erudit,博ᴱᵀ
filantrop,博爱者
orakol,占ᴼᴿ
halogenid,卤化ᴴ
sigel,印ˢᴳ
print,印ᴾᴺ
patric,印ᴾᵀ
impresionist,印象家
ovol,卵ᴼᴸ
ovariit,卵巢炎
ovariektomi,卵巢除
salpingit,卵管炎
presuriz,压ᴾˢ
preg,压ᴾᴳ
barometr,压计ᴮ
tensimetr,压计ᵀ
centimetr,厘ᶜᴹ
primitiv,原ᴾᴹ
pamp,原ᴾᴾ
primar,原ᴾᴿ
proto,原ᴾᵀ
arketip,原型ᴬ
protokanajl,原恶棍
ĝemin,双ᴳ̂
brig,双帆船
refleksologi,反射学
reaktor,反应堆
generator,发电ᴳ
ameb,变形虫
kameleon,变色龙
ordinaci,叙ᴼᶜ
renegat,叛ᴿᴺ
stomatolog,口学家
palatit,口顶炎
arĥa,古ᴬᴬ
arkaik,古ᴬᴵ
arĥaik,古ᴬᴷ
arkeo,古ᴬᴼ
arka,古ᴬᴿ
paleont,古ᴾᴺ
arĥaism,古主义
paleontologi,古学ᴾ
arĥeolog,古学家
paleolitik,古石学
platform,台ᴾᴸ
peron,台ᴾᴿ
limb,叶ᴸᴹ
frond,叶ᶠᴿ
semafor,号ˢᴹ
kongru,合ᴷᴳ
konjunkci,合ᴷᴶ
kluĉ,合ᴷᴸ
konform,合ᴷᴺ
kombinaci,合ᴷᶜ
korus,合唱ᴷ
izotop,同位素
homozigot,同合子
nominal,名ᴺᴺ
tropism,向主义
heliant,向日葵
neg,否ᴺᴱ
negaci,否ᴺᶜ
tonel,吨ᵀᴸ
inklud,含ᴵᴰ
implic,含ᴵᴹ
aŭskult,听ᴬˢ
ŝmac,吸ˢ̂
sorb,吸ˢᴿ
hirud,吸血虫
vampir,吸血鬼
blag,吹ᴮᴳ
fat,命ᶠᴬ
pacif,和ᴾᶠ
pacifism,和主义
kluk,咕ᴷᴸ
psokopter,咬虫翅
faringit,咽炎ᶠ
filozofi,哲ᶠᴵ
labi,唇ᴸᴮ
labial,唇ᴸᴸ
solo,唯ˢᴼ
ronĝ,啃ᴿᴺ
kvocient,商ᴷⱽ
knal,啪ᴷᴺ
